,page,country,rev_id,article_quality_est,FIPS,Name,Type,TimeFrame,Data (M),Population
10675,Émile Boga Doudou,Ivorian,755479236,C,,,,,,
10702,Fran Levstik,Carniolan,755713654,Start,,,,,,
10754,Adalgisa Magno Guterres,East Timorese,755908563,Stub,,,,,,
10755,María do Céu,East Timorese,755908564,Start,,,,,,
10788,Adrien Jules Jean Bonhoure,Ivorian,756060260,Stub,,,,,,
10833,Václav Fischer,Czech Republic,756317863,Start,,,,,,
10837,Emil Kirjas,Macedonia,756341426,Stub,,,,,,
10862,Edouard Kiove Kola,"Congo, Dem. Rep. of",756510063,Stub,,,,,,
10901,Bárður á Steig Nielsen,Faroese,756602743,Start,,,,,,
10955,Edmund Joensen,Faroese,756654638,Stub,,,,,,
10958,Jørgen Niclasen,Faroese,756654880,Stub,,,,,,
11124,Sara Olsvig,Greenlandic,756830216,Stub,,,,,,
11334,Ezechiel Joseph,Saint Lucian,757044849,Stub,,,,,,
11338,Maria Heather,Cook Island,757064438,Stub,,,,,,
11339,Tetangi Matapo,Cook Island,757064793,Stub,,,,,,
11340,Selina Napa,Cook Island,757064845,Stub,,,,,,
11341,Dorice Reid,Cook Island,757065079,B,,,,,,
11342,Ngai Tupa,Cook Island,757065152,Stub,,,,,,
11371,Teresina Bodkin,Montserratian,757086597,Stub,,,,,,
11372,Shirley Osborne,Montserratian,757086621,Stub,,,,,,
11374,Nora Gúnera de Melgar,Hondura,757092750,Stub,,,,,,
11376,Kathrine Chemnitz,Greenlandic,757102071,Start,,,,,,
11379,Augusta Salling,Greenlandic,757103267,Stub,,,,,,
11388,Leilani Reklai,Palauan,757106724,Stub,,,,,,
11389,Matatumua Maimoana,Samoan,757107378,Start,,,,,,
11390,Laulu Fetauimalemau Mata'afa,Samoan,757107952,C,,,,,,
11446,Fahd bin Mahmoud al Said,Omani,757164616,Stub,,,,,,
12042,Božena Viková-Kunětická,Czech Republic,757336278,Stub,,,,,,
12145,Taymuraz Mamsurov,Ossetian,757343822,Start,,,,,,
12344,Agathe Fontain,Greenlandic,757539811,Stub,,,,,,
12346,Ana Pessoa Pinto,East Timorese,757539934,Stub,,,,,,
12348,Ane Hansen (politician),Greenlandic,757539958,Stub,,,,,,
12361,Cassey Eggelton,Cook Island,757540405,Stub,,,,,,
12364,Constance Simelane,Swaziland,757540600,C,,,,,,
12394,Elizabeth Azcona Bocock,Hondura,757561950,Start,,,,,,
12403,Fiame Naomi Mata'afa,Samoan,757562316,Start,,,,,,
12480,Menissa Rambally,Saint Lucian,757615710,Start,,,,,,
12497,Safuneitu'uga Pa'aga Neri,Samoan,757616961,Stub,,,,,,
12499,Sandra Midence,Hondura,757617005,Stub,,,,,,
12513,Violeta Menjívar,Salvadoran,757618572,Start,,,,,,
12751,Daniel Mukoko Samba,"Congo, Dem. Rep. of",757821887,Stub,,,,,,
12752,Henry Latham Currey,Cape Colony,757832561,Start,,,,,,
12771,Premier of Nevis,Saint Kitts and Nevis,757950077,Stub,,,,,,
12782,Santiago González (politician),Salvadoran,757977772,Stub,,,,,,
12818,Rosa Amelia Guzmán,Salvadoran,758287489,Start,,,,,,
12820,Gloria Salguero Gross,Salvadoran,758288293,C,,,,,,
12913,Mikuláš of Hus,Czech Republic,758942647,Stub,,,,,,
12915,Gatoloaifaana Amataga Alesana-Gidlow,Samoan,758953501,Stub,,,,,,
13004,Gertruda Sekaninová-Čakrtová,Czech Republic,759446334,GA,,,,,,
13180,Yu In-chon,South Korean,760062536,Start,,,,,,
13244,Seydou Diarra,Ivorian,760303900,Start,,,,,,
13245,Gilbert Aké,Ivorian,760304267,Stub,,,,,,
13261,Jeannot Ahoussou-Kouadio,Ivorian,760393381,Start,,,,,,
13267,Damian Greaves,Saint Lucian,760443772,Stub,,,,,,
13272,Aleksandr Shavlokhov,South Ossetian,760473086,Stub,,,,,,
13273,Merab Chigoev,South Ossetian,760473130,Stub,,,,,,
13274,Gerasim Khugayev,South Ossetian,760473192,Start,,,,,,
13275,Igor Sanakoyev,South Ossetian,760473237,Stub,,,,,,
13276,Zurab Kokoyev,South Ossetian,760473273,Stub,,,,,,
13299,Rosa Bonaparte,East Timorese,760534473,Stub,,,,,,
13313,Rawya Saud Al Busaidi,Omani,760558966,Stub,,,,,,
13529,Adrian Davis (governor),Montserratian,762009545,Stub,,,,,,
13556,Abdylaqim Ademi,Macedonia,762110004,Stub,,,,,,
13629,Tuala Ainiu Iusitino,Samoan,762572848,Stub,,,,,,
13638,Antonio Bells,Palauan,762610456,Stub,,,,,,
13676,Alibek Delimkhanov,Chechen,762868684,Stub,,,,,,
13681,Sydney Gun-Munro,Saint Vincent and the Grenadines,762906552,Stub,,,,,,
13682,Bailiff of Guernsey,Guernsey,762910285,GA,,,,,,
13711,Dobri Veličkovski,Macedonia,763061803,Stub,,,,,,
13781,Dolly Makambo Nawezi,"Congo, Dem. Rep. of",763323939,Stub,,,,,,
13820,Francis Chaplin,Rhodesian,763530115,Stub,,,,,,
13824,Roger Hawkins (politician),Rhodesian,763533706,Start,,,,,,
13828,George Mitchell (Rhodesia),Rhodesian,763540238,Stub,,,,,,
13877,Asii Chemnitz Narup,Greenlandic,763742018,Stub,,,,,,
13885,Robert Rex,Niuean,763768679,Start,,,,,,
13886,Norman George,Cook Island,763769083,Start,,,,,,
13887,John Tangi,Cook Island,763769086,Stub,,,,,,
13888,Vai Peua,Cook Island,763769088,Stub,,,,,,
13889,Teariki Heather,Cook Island,763769233,Start,,,,,,
13891,George Angene,Cook Island,763769688,Stub,,,,,,
13892,Albert (Peto) Nicholas,Cook Island,763770488,Stub,,,,,,
13894,Tupou Faireka,Cook Island,763774025,Stub,,,,,,
13895,Mark Brown (Cook Islands),Cook Island,763774066,Stub,,,,,,
13896,Nandi Glassie,Cook Island,763774069,Stub,,,,,,
13897,Apii Piho,Cook Island,763775030,Stub,,,,,,
13898,Winton Pickering,Cook Island,763775034,Stub,,,,,,
13899,Albert Nicholas (Cook Islands),Cook Island,763775035,Stub,,,,,,
13900,Vincent Ingram,Cook Island,763775867,Start,,,,,,
13901,Terepai Maoate Jnr,Cook Island,763775893,Stub,,,,,,
13902,Toanui Isamaela,Cook Island,763776103,Stub,,,,,,
13903,Tangata Vavia,Cook Island,763776191,Start,,,,,,
13904,Taunga Toka,Cook Island,763776193,Stub,,,,,,
13905,Teremoana Tapi Taio,Cook Island,763776229,Stub,,,,,,
13906,Tepure Tapaitau,Cook Island,763776231,Start,,,,,,
13907,Mapu Taia,Cook Island,763776235,Stub,,,,,,
13908,Pupuke Robati,Cook Island,763776270,Start,,,,,,
13909,Wilkie Rasmussen,Cook Island,763776271,Start,,,,,,
13911,Tai Tura,Cook Island,763776737,Stub,,,,,,
13912,Tekii Lazaro,Cook Island,763776768,Stub,,,,,,
13913,Kura Strickland,Cook Island,763776806,Stub,,,,,,
13914,Mii Parima,Cook Island,763776808,Stub,,,,,,
13915,Joe Williams (Cook Islands politician),Cook Island,763776856,Start,,,,,,
13916,Kiriau Turepu,Cook Island,763776860,Stub,,,,,,
13933,John Landau,Rhodesian,763870152,Stub,,,,,,
13953,Germain Kambinga,"Congo, Dem. Rep. of",763943185,Stub,,,,,,
13954,Byron Hove,Rhodesian,763951988,Start,,,,,,
14018,Haruo Remeliik,Palauan,764341685,Stub,,,,,,
14019,Henri Konan Bédié,Ivorian,764345360,B,,,,,,
14032,Stanko Mladenovski,Macedonia,764411930,Stub,,,,,,
14055,Richard Fell,Pitcairn Islands,764601118,Start,,,,,,
14063,Juan Alberto Melgar Castro,Hondura,764646645,Stub,,,,,,
14089,Richard Ndambu Wolang,"Congo, Dem. Rep. of",764771546,Stub,,,,,,
14090,Simon Mbatshi Batshia,"Congo, Dem. Rep. of",764771615,C,,,,,,
14091,José Makila Sumanda,"Congo, Dem. Rep. of",764771652,Stub,,,,,,
14092,Trésor Kapuku Ngoy,"Congo, Dem. Rep. of",764771697,Stub,,,,,,
14093,Charles Mwando Simba,"Congo, Dem. Rep. of",764791046,Stub,,,,,,
14169,Roman Tmetuchl,Palauan,765032190,GA,,,,,,
14181,Vice President of Palau,Palauan,765102210,Stub,,,,,,
14261,Henry Juta,Cape Colony,765333482,Stub,,,,,,
14297,David Joaquín Guzmán,Salvadoran,765528693,Start,,,,,,
14300,Siljan Avramovski,Macedonia,765551331,Start,,,,,,
14303,Jules Fontaine Sambwa,"Congo, Dem. Rep. of",765570258,Start,,,,,,
14305,Fernanda Borges,East Timorese,765600414,Stub,,,,,,
14309,Beibulat Taimiev,Chechen,765616552,Start,,,,,,
14332,Mabi Mulumba,"Congo, Dem. Rep. of",765799138,Stub,,,,,,
14333,N'Singa Udjuu,"Congo, Dem. Rep. of",765799213,Stub,,,,,,
14340,Sultani Makenga,"Congo, Dem. Rep. of",765834828,Stub,,,,,,
14341,Petr Mlsna,Czech Republic,765838180,Stub,,,,,,
14348,Josué Alex Mukendi,"Congo, Dem. Rep. of",765871730,Stub,,,,,,
14362,Raymond Tshibanda,"Congo, Dem. Rep. of",765923988,Start,,,,,,
14363,Banza Mukalay,"Congo, Dem. Rep. of",765924619,Start,,,,,,
14366,Évariste Boshab,"Congo, Dem. Rep. of",765925554,Stub,,,,,,
14378,Jóannes Eidesgaard,Faroese,765947137,Start,,,,,,
14379,Jógvan á Lakjuni,Faroese,765947416,Start,,,,,,
14420,Atapana Siakimotu,Niuean,766068997,Stub,,,,,,
14421,Ahohiva Levi,Niuean,766068998,Stub,,,,,,
14422,Bill Vakaafi Motufoou,Niuean,766069253,Stub,,,,,,
14423,Pokotoa Sipeli,Niuean,766069256,Stub,,,,,,
14424,Terry Coe,Niuean,766069372,Stub,,,,,,
14425,Togiavalu Pihigia,Niuean,766069407,Stub,,,,,,
14426,Hima Douglas,Niuean,766069520,Stub,,,,,,
14427,Dalton Tagelagi,Niuean,766069576,Stub,,,,,,
14442,Lyudvig Chibirov,South Ossetian,766130279,Stub,,,,,,
14518,Vernon Tomes,Jersey,766480006,Start,,,,,,
14535,Affoussiata Bamba-Lamine,Ivorian,766524815,Start,,,,,,
14554,Marie-Ange Mushobekwa,"Congo, Dem. Rep. of",766647953,Stub,,,,,,
14571,Francisco Gómez (El Salvador President),Salvadoran,766757526,Start,,,,,,
14585,Inatio Akaruru,Cook Island,766806728,Start,,,,,,
14592,Hilary Squires,Rhodesian,766847256,Stub,,,,,,
14623,Terepai Maoate,Cook Island,767048874,Start,,,,,,
14624,Deputy Prime Minister of the Cook Islands,Cook Island,767048881,Start,,,,,,
14652,"Azzan bin Qais, Sultan of Muscat and Oman",Omani,767183600,Stub,,,,,,
14656,Surangel Whipps Jr.,Palauan,767195006,Stub,,,,,,
14686,Lambert Amon Tanoh,Ivorian,767265950,Stub,,,,,,
14704,Paul Alan Cox,Samoan,767363297,C,,,,,,
14827,Simeon Jacobs,Cape Colony,767856232,C,,,,,,
14841,Taimur bin Feisal,Omani,767885927,Start,,,,,,
14860,Atatoa Herman,Cook Island,767994335,Stub,,,,,,
14903,Antonín Cyril Stojan,Czech Republic,768047769,C,,,,,,
14949,Jean Andeka,"Congo, Dem. Rep. of",768228272,Stub,,,,,,
14967,Jean-Louis Billon,Ivorian,768302622,Start,,,,,,
15042,Ambrose Sherwill,Guernsey,768625520,C,,,,,,
15051,Aimé Ngoy Mukena,"Congo, Dem. Rep. of",768670214,C,,,,,,
15052,František Kubka,Czech Republic,768676716,Stub,,,,,,
15053,David G. P. Taylor,Montserratian,768679602,Start,,,,,,
15269,Ivan Tavčar,Carniolan,769425247,C,,,,,,
15318,Francisco Dueñas,Salvadoran,769575358,Stub,,,,,,
15321,Robert Beugré Mambé,Ivorian,769591168,Stub,,,,,,
15414,Michael Jackson (journalist),Niuean,770018880,Start,,,,,,
15434,Sarita Francis,Montserratian,770131970,Start,,,,,,
15539,Kim Wan-ju,South Korean,770622878,Stub,,,,,,
15540,Park Yong-jin,South Korean,770623036,Start,,,,,,
15547,Rafael Zaldívar,Salvadoran,770682721,Start,,,,,,
15558,Abdourahmane Cissé,Ivorian,770710515,C,,,,,,
15565,Lee Jong-kul,South Korean,770757174,Stub,,,,,,
15567,Aleqa Hammond,Greenlandic,770757601,Start,,,,,,
15570,Kim Hyun-jong,South Korean,770760118,Stub,,,,,,
15579,Richard Frederick,Saint Lucian,770812205,Start,,,,,,
15580,Oliver Plunkett (judge),Saint Lucian,770813700,Stub,,,,,,
15581,Gale Rigobert,Saint Lucian,770814043,Stub,,,,,,
15586,Frederick Ballantyne,Saint Vincent and the Grenadines,770827509,C,,,,,,
15587,Terrance Ollivierre,Saint Vincent and the Grenadines,770829069,Start,,,,,,
15682,Duncan MacIntyre (New Zealand politician),Tokelauan,770994352,C,,,,,,
15701,Milton Cato,Saint Vincent and the Grenadines,771015590,Start,,,,,,
15714,William Schreiner,Cape Colony,771024710,Start,,,,,,
15767,Enetama Lipitoa,Niuean,771152922,Stub,,,,,,
15815,Tuala Falenaoti Tiresa Malietoa,Samoan,771267864,Stub,,,,,,
15826,David Brandt (politician),Montserratian,771351774,Stub,,,,,,
15827,Bertrand Osborne,Montserratian,771351955,Stub,,,,,,
15828,Percival Austin Bramble,Montserratian,771352057,Stub,,,,,,
15872,Russell Marshall,Tokelauan,771460602,C,,,,,,
15904,Toi Aukuso Cain,Samoan,771651038,Stub,,,,,,
15913,Goran Mitevski,Macedonia,771736771,Stub,,,,,,
16008,Aimé Boji,"Congo, Dem. Rep. of",772045942,Stub,,,,,,
16047,Isa Gendergenoevsky,Chechen,772274868,Stub,,,,,,
16053,Léonard Mulamba,"Congo, Dem. Rep. of",772317052,Start,,,,,,
16080,"Kruger House, Pretoria",South African Republic,772410051,Stub,,,,,,
16166,Noel K Tshiani Muadiamvita,"Congo, Dem. Rep. of",772818039,C,,,,,,
16177,Nicolau dos Reis Lobato,East Timorese,772890380,Stub,,,,,,
16302,Philip Bailhache,Jersey,773230341,C,,,,,,
16314,Heraldine Rock,Saint Lucian,773251387,Start,,,,,,
16326,Jean Poingdestre,Jersey,773316732,Start,,,,,,
16351,Alfonso Oiterong,Palauan,773405868,Stub,,,,,,
16373,Vilma Cecilia Morales,Hondura,773563309,Stub,,,,,,
16438,Josef Pfitzner,Czech Republic,773853256,Start,,,,,,
16450,Anfinn Kallsberg,Faroese,773895078,Start,,,,,,
16562,Kasongo Ilunga,"Congo, Dem. Rep. of",774263410,Start,,,,,,
16603,Shin Ki-ha,South Korean,774367693,Stub,,,,,,
16688,Head of the Republic of North Ossetia-Alania,Ossetian,774555176,Stub,,,,,,
16691,Peter Hanning,Jersey,774568909,Start,,,,,,
16701,Vladimír Franz,Czech Republic,774595725,C,,,,,,
16731,Pierre Lumbi Okongo,"Congo, Dem. Rep. of",774679596,Start,,,,,,
16751,Vice-President of Ivory Coast,Ivorian,774756970,Start,,,,,,
16754,Stevčo Jakimovski,Macedonia,774773036,Stub,,,,,,
16756,Mile Janakieski,Macedonia,774773200,Stub,,,,,,
16759,Vance Amory,Saint Kitts and Nevis,774778329,C,,,,,,
16770,Cecil Dennistoun Burney,Rhodesian,774837666,Stub,,,,,,
16777,Óscar Ortiz (El Salvador),Salvadoran,774857245,Stub,,,,,,
16784,"Turki bin Said, Sultan of Muscat and Oman",Omani,774877670,Stub,,,,,,
16857,Lee Chunhee,South Korean,775234175,Stub,,,,,,
16858,Peter Josie,Saint Lucian,775241473,Start,,,,,,
16897,Ahn Dae-hee,South Korean,775458263,Stub,,,,,,
16898,Ahn Gyu-baek,South Korean,775458608,Start,,,,,,
16899,Park Hong-keun,South Korean,775458639,Start,,,,,,
16905,George Strahan,Cape Colony,775481498,Start,,,,,,
17023,Sani Lakatani,Niuean,775947817,Stub,,,,,,
17088,Jan Stocklassa,Czech Republic,776095794,Stub,,,,,,
17114,Jaroslav Krejčí,Czech Republic,776197284,Start,,,,,,
17140,Boekenhoutfontein,South African Republic,776299184,Start,,,,,,
17154,Libuše Benešová,Czech Republic,776338134,Stub,,,,,,
17155,Daniela Filipiová,Czech Republic,776338195,Start,,,,,,
17161,Jean Konan Banny,Ivorian,776348888,Start,,,,,,
17171,Jeannette Kavira Mapera,"Congo, Dem. Rep. of",776372644,Stub,,,,,,
17172,Jeannine Compton-Antoine,Saint Lucian,776374386,Stub,,,,,,
17198,Moses Porges von Portheim,Czech Republic,776487173,Start,,,,,,
17206,Jan Kasl,Czech Republic,776508129,Start,,,,,,
17207,Jiří Kittner,Czech Republic,776509425,Stub,,,,,,
17210,Miloslav Vlček,Czech Republic,776513404,Stub,,,,,,
17211,Ivo Svoboda (politician),Czech Republic,776513552,Start,,,,,,
17212,Hana Orgoníková,Czech Republic,776513802,Stub,,,,,,
17213,Pavel Dostál,Czech Republic,776514175,Start,,,,,,
17260,John Bardwell Ebden,Cape Colony,776725178,Start,,,,,,
17268,Jiří Lobkowicz,Czech Republic,776751749,Stub,,,,,,
17383,Ahn Sang-yeong,South Korean,777008205,Stub,,,,,,
17406,Jang Deok-jin,South Korean,777070214,Stub,,,,,,
17458,Johnson Toribiong,Palauan,777304756,Start,,,,,,
17464,Carlos Zúñiga Figueroa,Hondura,777334919,Start,,,,,,
17566,Josip Jurčič,Carniolan,777587526,Stub,,,,,,
17568,Josip Vošnjak,Carniolan,777588436,Start,,,,,,
17571,José Adolfo Alvarado Lara,Hondura,777592070,Stub,,,,,,
17579,José Damián Villacorta,Salvadoran,777601256,Start,,,,,,
17581,José Escolástico Marín,Salvadoran,777602660,Stub,,,,,,
17595,José María Cornejo,Salvadoran,777612972,Start,,,,,,
17596,José María Peralta Lagos,Salvadoran,777613551,Stub,,,,,,
17597,José María San Martín,Salvadoran,777613737,Start,,,,,,
17598,José María Silva,Salvadoran,777613786,Start,,,,,,
17638,Juan Carlos Zuniga,Hondura,777669643,Stub,,,,,,
17647,Juan Manuel Rodríguez,Salvadoran,777685186,Start,,,,,,
17655,Juan Vicente Villacorta Díaz,Salvadoran,777698313,Start,,,,,,
17696,Julio Lozano Díaz,Hondura,777796210,Stub,,,,,,
17721,Bohuslav Kokotek,Czech Republic,777876483,Stub,,,,,,
17767,Alena Hanáková,Czech Republic,778095433,Stub,,,,,,
17861,Katrine Larsen Lenner,Greenlandic,778461046,Stub,,,,,,
17863,Edmund Wickham Lawrence (Governor-General),Saint Kitts and Nevis,778464259,Start,,,,,,
17908,Juan José Daboub,Salvadoran,778564487,C,,,,,,
17942,Kerai Mariur,Palauan,778679721,Stub,,,,,,
17952,Kete Ioane,Cook Island,778717694,Start,,,,,,
17958,Tom Davis (Cook Islands politician),Cook Island,778763952,C,,,,,,
17977,Niki Rattle,Cook Island,778789714,Stub,,,,,,
18023,Kim Jae-soon,South Korean,778915319,Stub,,,,,,
18025,Kim Jin-sun,South Korean,778916810,Stub,,,,,,
18078,Jan Hendrik Hofmeyr (Onze Jan),Cape Colony,779046359,C,,,,,,
18080,Ilija Dimovski,Macedonia,779048199,Stub,,,,,,
18083,William Alfred Young,Pitcairn Islands,779056744,Stub,,,,,,
18197,O'Love Jacobsen,Niuean,779369629,C,,,,,,
18198,Sisilia Talagi,Niuean,779369671,Stub,,,,,,
18199,Salilo Tongia,Niuean,779369724,Stub,,,,,,
18200,Va'aiga Tukuitonga,Niuean,779369750,Stub,,,,,,
18223,Ada Mae Edwards,Saint Kitts and Nevis,779378782,Start,,,,,,
18224,Constance V. Mitcham,Saint Kitts and Nevis,779379168,Start,,,,,,
18260,Irena Kočí,Czech Republic,779417455,Stub,,,,,,
18261,Martin Netolický,Czech Republic,779417738,Stub,,,,,,
18262,David Rath,Czech Republic,779418369,Start,,,,,,
18398,Eva Nováková,Czech Republic,779498276,Stub,,,,,,
18399,Vojtěch Adam,Czech Republic,779500408,Stub,,,,,,
18400,Vlastimil Balín,Czech Republic,779500749,Stub,,,,,,
18401,Jiří Dolejš,Czech Republic,779500957,Stub,,,,,,
18402,Zuzka Bebarová-Rujbrová,Czech Republic,779501010,Stub,,,,,,
18403,Marie Stiborová,Czech Republic,779501096,Start,,,,,,
18404,Jiří Svoboda (politician),Czech Republic,779501161,Stub,,,,,,
18405,Miloslava Vostrá,Czech Republic,779501194,Stub,,,,,,
18406,Jiří Čeřovský,Czech Republic,779501654,Stub,,,,,,
18407,Jan Korger,Czech Republic,779501783,Stub,,,,,,
18443,Kim Il-ung,South Korean,779544705,Stub,,,,,,
18444,Koo Kyo-hyun,South Korean,779544873,Stub,,,,,,
18448,Juan Carlos Valenzuela (politician),Hondura,779557210,Stub,,,,,,
18467,Adalgisa Ximenes,East Timorese,779579546,Stub,,,,,,
18474,Kateřina Jacques,Czech Republic,779581127,C,,,,,,
18523,Jacqueline Oble,Ivorian,779741800,C,,,,,,
18572,Tomáš Chalupa,Czech Republic,779839245,Stub,,,,,,
18573,Pavel Blažek,Czech Republic,779839319,Stub,,,,,,
18574,Aleš Řebíček,Czech Republic,779839400,Stub,,,,,,
18575,Ivan Langer,Czech Republic,779839455,Start,,,,,,
18576,Jan Stráský,Czech Republic,779839492,Start,,,,,,
18581,Jan Chvojka,Czech Republic,779842639,Stub,,,,,,
18585,Marie Benešová,Czech Republic,779847262,Stub,,,,,,
18586,Juraj Chmiel,Czech Republic,779847492,Stub,,,,,,
18587,Daniela Kovářová,Czech Republic,779847531,Stub,,,,,,
18588,Rostislav Vondruška,Czech Republic,779847687,Stub,,,,,,
18589,Martin Štěpánek (actor),Czech Republic,779847799,Start,,,,,,
18590,Helena Třeštíková,Czech Republic,779847837,Stub,,,,,,
18591,Milena Vicenová,Czech Republic,779847883,Stub,,,,,,
18592,Jaroslav Bašta,Czech Republic,779848743,Stub,,,,,,
18593,Josef Lux,Czech Republic,779849059,Stub,,,,,,
18594,Miroslav Macek,Czech Republic,779849258,Stub,,,,,,
18595,Ladislav Miko,Czech Republic,779849694,Stub,,,,,,
18596,Džamila Stehlíková,Czech Republic,779849767,Stub,,,,,,
18607,José Arturo Vásquez Machado,Salvadoran,779894617,Stub,,,,,,
18618,Andrés del Valle,Salvadoran,779931580,Start,,,,,,
18664,Vice-Presidents of the Democratic Republic of the Congo,"Congo, Dem. Rep. of",780035740,Stub,,,,,,
18669,Jozef Moravčík,Czech Republic,780051829,Stub,,,,,,
18703,Ji Sang-wook,South Korean,780227423,Start,,,,,,
18710,Lenard Montoute,Saint Lucian,780250934,Start,,,,,,
18713,Mark Partridge,Rhodesian,780260926,Stub,,,,,,
18721,Janez Bleiweis,Carniolan,780281974,Start,,,,,,
18736,Milan Uhde,Czech Republic,780321961,Stub,,,,,,
18747,Kaj Leo Johannesen,Faroese,780361487,Start,,,,,,
18752,Todor Petrov,Macedonia,780424320,C,,,,,,
18789,František Pitra,Czech Republic,780534080,Stub,,,,,,
18791,Oldřich Černík,Czech Republic,780534267,Stub,,,,,,
18792,Maliina Abelsen,Greenlandic,780537008,Start,,,,,,
18793,Rigmor Dam,Faroese,780543271,Start,,,,,,
18794,Hanna Jensen,Faroese,780543417,Start,,,,,,
18795,Sonja Jógvansdóttir,Faroese,780543635,Start,,,,,,
18796,Karin Kjølbro,Faroese,780543692,Start,,,,,,
18807,Lilian Mercedes Letona,Salvadoran,780552804,Start,,,,,,
18853,Carlos Quintanilla Schmidt,Salvadoran,780701356,Stub,,,,,,
18868,Odilon Kafitwe wa pa Bowa,"Congo, Dem. Rep. of",780757242,Start,,,,,,
18872,Muagututagata Peter Ah Him,Samoan,780759402,Stub,,,,,,
18890,Otakar Motejl,Czech Republic,780868492,Start,,,,,,
18892,Ludwig Czech,Czech Republic,780887131,Stub,,,,,,
18900,Rudolf Beran,Czech Republic,780921783,Start,,,,,,
18954,Enrique Álvarez Córdova,Salvadoran,781102914,Stub,,,,,,
18966,Chung Hong-won,South Korean,781133659,Start,,,,,,
18967,Kim Byong-joon,South Korean,781134255,Stub,,,,,,
19069,Winston Pond,Montserratian,781452925,Stub,,,,,,
19160,Metodija Andonov-Čento,Macedonia,781819701,Start,,,,,,
19189,Jóannes Patursson,Faroese,781915668,Start,,,,,,
19237,Victor Adler,Czech Republic,782058966,Start,,,,,,
19266,Sua Rimoni Ah Chong,Samoan,782134923,Start,,,,,,
19360,Louis Alphonse Koyagialo,"Congo, Dem. Rep. of",782350026,Start,,,,,,
19362,Louis George (politician),Saint Lucian,782356881,Stub,,,,,,
19372,Emil Beier,Czech Republic,782384016,Stub,,,,,,
19395,Ibragim Khultygov,Chechen,782430810,Stub,,,,,,
19403,Luamanuvao Winnie Laban,Samoan,782465136,Start,,,,,,
19415,Hong Ihk-pyo,South Korean,782498395,Start,,,,,,
19426,Arturo Araujo,Salvadoran,782520448,Stub,,,,,,
19476,Prime Minister of Rhodesia,Rhodesian,782602484,Start,,,,,,
19482,Luzolo Bambi Lessa,"Congo, Dem. Rep. of",782618365,Start,,,,,,
19493,Akhsarbek Galazov,Ossetian,782634776,Start,,,,,,
19500,Jeon Soon-ok,South Korean,782649404,Stub,,,,,,
19502,Rubén Alonso Rosales,Salvadoran,782652818,Start,,,,,,
19530,President of Palau,Palauan,782714724,Stub,,,,,,
19544,Governor of Pitcairn,Pitcairn Islands,782764117,Start,,,,,,
19548,Order of Merit of Samoa,Samoan,782768517,Stub,,,,,,
19570,Jonas Mukamba Kadiata Nzemba,"Congo, Dem. Rep. of",782825984,Start,,,,,,
19659,Bruno Kafka,Czech Republic,783065752,Stub,,,,,,
19690,Badr bin Saud al Busaidi,Omani,783116680,Stub,,,,,,
19708,Leo Cardwell Ross,Rhodesian,783150296,Start,,,,,,
19709,Josiah Gondo,Rhodesian,783150589,C,,,,,,
19748,Charles Abercrombie Smith,Cape Colony,783249147,C,,,,,,
19749,Charles Brownlee,Cape Colony,783250295,C,,,,,,
19784,Dunduzu Chisiza,Rhodesian,783301534,B,,,,,,
19822,Arthur Z'ahidi Ngoma,"Congo, Dem. Rep. of",783354232,Stub,,,,,,
19826,Marcella Liburd,Saint Kitts and Nevis,783358108,Start,,,,,,
19832,State President of the South African Republic,South African Republic,783371989,Start,,,,,,
19905,Mariano Prado,Salvadoran,783472679,Start,,,,,,
19941,Mario Alexander Barahona Martínez,Hondura,783532382,Stub,,,,,,
19944,Mario Canahuati,Hondura,783534612,Stub,,,,,,
19948,Mario Michel,Saint Lucian,783539672,Start,,,,,,
20026,Sapa'u Ruperake Petaia,Samoan,783679600,Stub,,,,,,
20047,Lucie Talmanová,Czech Republic,783711789,Start,,,,,,
20059,Martin Mejstřík,Czech Republic,783737915,Stub,,,,,,
20065,Martin Williams (diplomat),Pitcairn Islands,783746509,Stub,,,,,,
20102,Mary Rose Tuitt,Montserratian,783821985,Start,,,,,,
20130,María Sumire,Incan,783850857,Start,,,,,,
20167,Movladi Udugov,Chechen,783907075,C,,,,,,
20193,Vera Aceva,Macedonia,783955998,Start,,,,,,
20214,Matías Funes,Hondura,784048015,Start,,,,,,
20216,Dean of Jersey,Jersey,784051930,Start,,,,,,
20254,Vlastimil Tusar,Czech Republic,784145485,Start,,,,,,
20263,Doku Zavgayev,Chechen,784167327,Start,,,,,,
20267,Emile Mota,"Congo, Dem. Rep. of",784182810,Start,,,,,,
20272,Mark Brantley,Saint Kitts and Nevis,784208810,Start,,,,,,
20274,Dragan Bogdanovski,Macedonia,784214010,Stub,,,,,,
20335,Ernest Boka,Ivorian,784395089,Stub,,,,,,
20342,Le Mamea Ropati,Samoan,784413731,Start,,,,,,
20352,Erlendur Patursson,Faroese,784440060,Start,,,,,,
20363,"Alexander Coutanche, Baron Coutanche",Jersey,784462137,C,,,,,,
20373,Pío Romero Bosque,Salvadoran,784506431,Stub,,,,,,
20390,Allan Ross Welsh,Rhodesian,784562559,C,,,,,,
20455,Frederick Tutu Goodwin,Cook Island,784686871,Start,,,,,,
20460,Geoffrey Rowland,Guernsey,784691815,Start,,,,,,
20462,George Cathcart,Cape Colony,784693349,Start,,,,,,
